address_a,address_b,port_a,port_b,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
192.168.1.54,192.0.66.32,51937,443,112,1,2024-03-25 05:38:11.047294,0,nypost,6,98,2024-03-25 05:38:11.047294
192.168.1.54,192.0.66.32,51937,443,140,1,2024-03-25 05:38:11.047498,0,nypost,6,126,2024-03-25 05:38:11.047498
192.168.1.54,192.0.66.32,51937,443,116,1,2024-03-25 05:38:11.047619,0,nypost,6,102,2024-03-25 05:38:11.047619
192.0.66.32,192.168.1.54,443,51937,60,1,2024-03-25 05:38:11.055859,0,nypost,6,40,2024-03-25 05:38:11.055859
192.0.66.32,192.168.1.54,443,51937,325,1,2024-03-25 05:38:11.055867,0,nypost,6,311,2024-03-25 05:38:11.055867
192.0.66.32,192.168.1.54,443,51937,325,1,2024-03-25 05:38:11.055870,0,nypost,6,311,2024-03-25 05:38:11.055870
192.0.66.32,192.168.1.54,443,51937,125,1,2024-03-25 05:38:11.055874,0,nypost,6,111,2024-03-25 05:38:11.055874
192.0.66.32,192.168.1.54,443,51937,540,1,2024-03-25 05:38:11.055877,0,nypost,6,526,2024-03-25 05:38:11.055877
192.168.1.54,192.0.66.32,51937,443,54,1,2024-03-25 05:38:11.056055,0,nypost,6,40,2024-03-25 05:38:11.056055
192.168.1.54,192.0.66.32,51937,443,85,1,2024-03-25 05:38:11.056465,0,nypost,6,71,2024-03-25 05:38:11.056465
192.168.1.54,192.0.66.32,51937,443,78,1,2024-03-25 05:38:11.056794,0,nypost,6,64,2024-03-25 05:38:11.056794
192.168.1.54,192.0.66.32,51937,443,54,1,2024-03-25 05:38:11.058624,0,nypost,6,40,2024-03-25 05:38:11.058624
192.0.66.32,192.168.1.54,443,51937,60,1,2024-03-25 05:38:11.063519,0,nypost,6,40,2024-03-25 05:38:11.063519
192.0.66.32,192.168.1.54,443,51937,60,1,2024-03-25 05:38:11.063522,0,nypost,6,40,2024-03-25 05:38:11.063522
192.168.1.54,192.0.66.32,51937,443,54,1,2024-03-25 05:38:11.063670,0,nypost,6,40,2024-03-25 05:38:11.063670
192.0.66.32,192.168.1.54,443,51937,60,1,2024-03-25 05:38:11.066772,0,nypost,6,40,2024-03-25 05:38:11.066772
192.168.1.54,192.0.66.32,51938,443,78,1,2024-03-25 05:38:12.098447,0,nypost,6,64,2024-03-25 05:38:12.098447
192.0.66.32,192.168.1.54,443,51938,66,1,2024-03-25 05:38:12.112035,0,nypost,6,52,2024-03-25 05:38:12.112035
192.168.1.54,192.0.66.32,51938,443,54,1,2024-03-25 05:38:12.112194,0,nypost,6,40,2024-03-25 05:38:12.112194
192.168.1.54,192.0.66.32,51938,443,378,1,2024-03-25 05:38:12.112565,0,nypost,6,364,2024-03-25 05:38:12.112565
192.0.66.32,192.168.1.54,443,51938,60,1,2024-03-25 05:38:12.124675,0,nypost,6,40,2024-03-25 05:38:12.124675
192.0.66.32,192.168.1.54,443,51938,1514,1,2024-03-25 05:38:12.124689,0,nypost,6,1500,2024-03-25 05:38:12.124689
192.0.66.32,192.168.1.54,443,51938,1514,1,2024-03-25 05:38:12.124693,0,nypost,6,1500,2024-03-25 05:38:12.124693
192.0.66.32,192.168.1.54,443,51938,1230,1,2024-03-25 05:38:12.124697,0,nypost,6,1216,2024-03-25 05:38:12.124697
192.0.66.32,192.168.1.54,443,51938,86,1,2024-03-25 05:38:12.124702,0,nypost,6,72,2024-03-25 05:38:12.124702
