ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,bytes,packets,start,duration,label,ip.proto,ip.len,frame.time
172.28.0.12,169.254.169.254,,,36175,53,74,1,2024-03-26 03:14:51.969665,0,nypost,17,60,2024-03-26 03:14:51.969665
172.28.0.12,169.254.169.254,,,54574,53,74,1,2024-03-26 03:14:51.970067,0,nypost,17,60,2024-03-26 03:14:51.970067
169.254.169.254,172.28.0.12,,,53,36175,90,1,2024-03-26 03:14:51.970307,0,nypost,17,76,2024-03-26 03:14:51.970307
169.254.169.254,172.28.0.12,,,53,54574,158,1,2024-03-26 03:14:51.970482,0,nypost,17,144,2024-03-26 03:14:51.970482
172.28.0.12,192.0.66.32,45596,443,,,74,1,2024-03-26 03:14:51.970825,0,nypost,6,60,2024-03-26 03:14:51.970825
192.0.66.32,172.28.0.12,443,45596,,,66,1,2024-03-26 03:14:51.985814,0,nypost,6,52,2024-03-26 03:14:51.985814
172.28.0.12,192.0.66.32,45596,443,,,54,1,2024-03-26 03:14:51.985940,0,nypost,6,40,2024-03-26 03:14:51.985940
172.28.0.12,192.0.66.32,45596,443,,,571,1,2024-03-26 03:14:52.073263,0,nypost,6,557,2024-03-26 03:14:52.073263
192.0.66.32,172.28.0.12,443,45596,,,54,1,2024-03-26 03:14:52.088282,0,nypost,6,40,2024-03-26 03:14:52.088282
192.0.66.32,172.28.0.12,443,45596,,,2974,1,2024-03-26 03:14:52.089250,0,nypost,6,2960,2024-03-26 03:14:52.089250
172.28.0.12,192.0.66.32,45596,443,,,54,1,2024-03-26 03:14:52.089281,0,nypost,6,40,2024-03-26 03:14:52.089281
192.0.66.32,172.28.0.12,443,45596,,,1230,1,2024-03-26 03:14:52.089312,0,nypost,6,1216,2024-03-26 03:14:52.089312
172.28.0.12,192.0.66.32,45596,443,,,54,1,2024-03-26 03:14:52.089324,0,nypost,6,40,2024-03-26 03:14:52.089324
192.0.66.32,172.28.0.12,443,45596,,,103,1,2024-03-26 03:14:52.089314,0,nypost,6,89,2024-03-26 03:14:52.089314
